a.name,d.name,"gds.alpha.linkprediction.commonNeighbors(a, d)","gds.alpha.linkprediction.adamicAdar(a, d)",label
Kuru_Dynasty,Deities,0.0,0.0,false
Kuru_Dynasty,Kaurava,0.0,0.0,false
Kuru_Dynasty,Shape,0.0,0.0,false
Kuru_Dynasty,Asura,0.0,0.0,false
Kuru_Dynasty,Rishi,0.0,0.0,false
Kuru_Dynasty,Woman,0.0,0.0,false
Kuru_Dynasty,Person,1.0,0.4170323914242463,false
Kuru_Dynasty,Deva,0.0,0.0,false
Kuru_Dynasty,Pandava,0.0,0.0,false
Kuru_Dynasty,Bhagavad_Gita,0.0,0.0,false
Kuru_Dynasty,StatesOfIndia,0.0,0.0,false
Kuru_Dynasty,Events,0.0,0.0,false
Kuru_Dynasty,Places,0.0,0.0,false
Kuru_Dynasty,Vyuha,0.0,0.0,false
Kuru_Dynasty,Yadava_Dynasty,0.0,0.0,false
Kuru_Dynasty,Rivers,0.0,0.0,false
Kuru_Dynasty,Man,0.0,0.0,false
Kuru_Dynasty,Chapters,1.0,0.4170323914242463,false
Kuru_Dynasty,Traits,0.0,0.0,false
Kuru_Dynasty,Kuru_Dynasty,0.0,0.0,false
